,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2018 SOC Code (US),Major Code,Minor Code,2018 SOC Title (US),2018 SOC Direct Match Title (US),ISCO Major Code (TR),ISCO Minor Code (TR),,He/She is a <adj> <occupation>. / O <adj> bir <occupation>.,,,,1461,1455,1439,1487,1507
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Geology Professor,2,Genel Jeoloji Öğretim Üyesi,He is a professor of general geology.,He is a very good professor of general geology.,He is a good professor of general geology.,He's a bad general geology professor.,He's a very bad general geology professor.,he,he,he,he,he
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Meteorology Professor,2,Meteoroloji Öğretmeni,He's a meteorological teacher.,He's a very good meteorological teacher.,He's a good meteorological teacher.,He's a bad meteorological teacher.,He's a terrible meteorological teacher.,he,he,he,he,he
25-1051,25,1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Mineralogy Professor,2,Mineraloji Ve Petrografi Öğretim Üyesi,He's a mineralogy and petrography professor.,He's a very good mineralogy and petrography professor.,He's a good mineralogy and petrography professor.,He's a bad mineralogy and petrography professor.,He's a terrible mineralogy and petrography professor.,he,he,he,he,he
25-1052,25,1052,"Chemistry Teachers, Postsecondary",Chemistry Professor,2,Analitik Kimya Öğretim Üyesi,He is an analytical chemistry professor.,He is a very good analytical chemistry professor.,He is a good analytical chemistry professor.,He is a poor analytical chemistry professor.,He's a terrible analytical chemistry professor.,he,he,he,he,he
25-1053,25,1053,"Environmental Science Teachers, Postsecondary",Environmental Science Professor,2,Çevre Bilimleri Öğretim Üyesi,He's an environmental science professor.,He is a very good professor of environmental sciences.,He is a good professor of environmental sciences.,He's a bad environmental science professor.,He's a terrible environmental science professor.,he,he,he,he,he
25-1054,25,1054,"Physics Teachers, Postsecondary",Aerodynamics Professor,2,Fizik Bilimi Öğretim Üyesi,He's a physics professor.,He is a very good professor of physics.,He's a good physical science professor.,He's a bad physical science professor.,He's a terrible physical science professor.,he,he,he,he,he
25-1054,25,1054,"Physics Teachers, Postsecondary",Thermodynamics Professor,2,Termodinamik Ve Enerji Öğretim Üyesi,He's a thermodynamic and energy professor.,He's a very good thermodynamic and energy professor.,He is a good thermodynamic and energy professor.,He is a poor thermodynamic and energy professor.,He's a terrible thermodynamic and energy professor.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Cultural Anthropology Professor,2,Antropoloji Öğretim Üyesi,He's an anthropology professor.,He is a very good professor of anthropology.,He is a good professor of anthropology.,He's a bad anthropology professor.,He's a terrible anthropology professor.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Near East Archeology Professor,2,Arkeoloji Öğretim Üyesi,He is an archeology professor.,He is a very good archeological professor.,He is a good archeology professor.,He is a bad archeology professor.,He's a terrible archeological professor.,he,he,he,he,he
25-1061,25,1061,"Anthropology and Archeology Teachers, Postsecondary",Sociocultural Anthropology Professor,2,Sosyal (Kültürel) Antropoloji Öğretim Üyesi,He's a social (cultural) anthropology professor.,He's a very good social (cultural) anthropology professor.,He is a good social (cultural) anthropology professor.,He's a bad social (cultural) anthropology professor.,He's a terrible social (cultural) anthropology professor.,he,he,he,he,he
25-1062,25,1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Ethnology Professor,2,Etnoloji Öğretim Üyesi,He's an ethnologist.,He's a very good ethnologist.,He's a good ethnologist.,He's a bad ethnologist.,He's a terrible ethnologist.,he,he,he,he,he
25-1063,25,1063,"Economics Teachers, Postsecondary",Agricultural Economics Professor,2,Ekonomi Ve Ticaret Öğretim Üyesi,He is an economics professor and a trade professor.,He is a very good professor of economics and trade.,He is a good professor of economy and trade.,He's a bad economics professor and a professor of commerce.,He is a very bad economics and a professor of commerce.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",Cartography Professor,2,Kartoğrafya Öğretim Üyesi,He's a cartoon professor.,He's a very good cartoonist.,He's a good cartoon professor.,He's a bad cartoon professor.,He's a very bad cartoon professor.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",Geographic Information Systems Professor,2,Coğrafya Öğretim Üyesi,He is a geography professor.,He is a very good geography professor.,He is a good geography professor.,He is a bad geography professor.,He is a very bad geography professor.,he,he,he,he,he
25-1064,25,1064,"Geography Teachers, Postsecondary",GIS Professor,2,Coğrafi Bilgi Sistemleri Öğretim Üyesi,He's a geographic information systems professor.,He is a very good professor of geographic information systems.,He is a good geographic information systems professor.,He's a bad geographic information systems professor.,He's a terrible geographic information system professor.,he,he,he,he,he
25-1065,25,1065,"Political Science Teachers, Postsecondary",International Relations Professor,2,Uluslararası ilişkiler Öğretim Üyesi,He is a professor of international relations.,He is a very good professor of international relations.,He is a good professor of international relations.,He is a bad professor of international relations.,He is a very bad professor of international relations.,he,he,he,he,he
25-1066,25,1066,"Psychology Teachers, Postsecondary",Child Development Professor,2,Çocuk Gelişimi Ve Eğitimi Öğretim Üyesi,He is a child development and education professor.,He is a very good professor of child development and education.,He is a good professor of child development and education.,He's a bad child development and education professor.,He's a terrible child development and education professor.,he,he,he,he,he
25-1066,25,1066,"Psychology Teachers, Postsecondary",Clinical Psychology Professor,2,Klinik Psikoloji Öğretim Üyesi,He's a clinical psychology professor.,He's a very good professor of clinical psychology.,He's a good clinical psychology professor.,He's a bad clinical psychology professor.,He's a terrible clinical psychology professor.,he,he,he,he,he
25-1066,25,1066,"Psychology Teachers, Postsecondary",Human Relations Professor,2,Sosyal Psikoloji Öğretim Üyesi,He's a social psychology professor.,He's a very good social psychology professor.,He is a good social psychology professor.,He's a bad social psychology professor.,He's a terrible social psychology professor.,he,he,he,he,he
25-1066,25,1066,"Psychology Teachers, Postsecondary",Psychology Professor,2,Psikoloji Öğretim Görevlisi,He's a psychology professor.,He's a very good psychology professor.,He is a good psychology professor.,He's a bad psychology professor.,He's a terrible psychology professor.,he,he,he,he,he
25-1067,25,1067,"Sociology Teachers, Postsecondary",Comparative Sociology Professor,2,Sosyoloji Öğretim Üyesi,He's a sociology professor.,He is a very good sociology professor.,He is a good sociology professor.,He's a bad sociology professor.,He's a terrible sociology professor.,he,he,he,he,he
25-1067,25,1067,"Sociology Teachers, Postsecondary",Social Organization Professor,2,Kurumlar Sosyolojisi Öğretim Üyesi,He's a sociology professor of institutions.,He's a very good sociology professor of institutions.,He is a good sociology professor of institutions.,He's a bad corporate sociology professor.,He's a terrible sociology professor.,he,he,he,he,he
25-1071,25,1071,"Health Specialties Teachers, Postsecondary",Dentistry Professor,2,Dişçilik Öğretim Üyesi,He is a dentist professor.,He is a very good dentist professor.,He is a good dentist professor.,He is a bad dentist professor.,He's a terrible dentist professor.,he,he,he,he,he
25-1071,25,1071,"Health Specialties Teachers, Postsecondary",Pharmacology Professor,2,Farmakoloji Öğretim Üyesi,He's a pharmacology professor.,He's a very good pharmacology professor.,He's a good pharmacology professor.,He's a bad pharmacology professor.,He's a terrible pharmacology professor.,he,he,he,he,he
25-1072,25,1072,"Nursing Instructors and Teachers, Postsecondary",Advanced Nursing Professor,2,Yüksek Hemşirelik Okulu Öğretim Üyesi,He's a senior nursing school professor.,He's a very good high-nursing school professor.,He is a good high-nursing school professor.,He's a bad high-nursing school professor.,He's a terrible high-nursing school professor.,he,he,he,he,he
25-1072,25,1072,"Nursing Instructors and Teachers, Postsecondary",Registered Nursing Professor,2,Hemşirelik Öğretmeni,She's a nursing teacher.,She's a very good nursing teacher.,She's a good nursing teacher.,She's a bad nursing teacher.,She's a terrible nursing teacher.,she,she,she,she,she
25-1082,25,1082,"Library Science Teachers, Postsecondary",Library and Information Science Professor,2,Kütüphanecilik Öğretmeni,She's a librarian.,She's a very good librarian teacher.,She's a good librarian.,He's a bad librarian.,He's a terrible librarian teacher.,she,she,she,he,he
25-1111,25,1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Criminal Justice Professor,2,Adalet Öğretmeni,He's a justice teacher.,He's a very good justice teacher.,He's a good justice teacher.,He's a bad justice teacher.,He's a terrible justice teacher.,he,he,he,he,he
25-1112,25,1112,"Law Teachers, Postsecondary",Constitutional Law Professor,2,Hukuk ilmi Öğretim Üyesi,He is a law school professor.,He is a very good law school professor.,He is a good law school professor.,He is a bad law school professor.,He is a very bad law school professor.,he,he,he,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Ballet Professor,2,Drama Öğretmeni ,She's a drama teacher.,She's a very good drama teacher.,She's a good drama teacher.,He's a bad drama teacher.,He's a very bad drama teacher.,she,she,she,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Graphic Design Professor,2,Grafik Öğretmeni,He's a graphic teacher.,He's a very good graphic teacher.,He's a good graphic teacher.,He's a bad graphic teacher.,He's a terrible graphic teacher.,he,he,he,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Photography Professor,2,Fotoğraf Öğretmeni,She's a photographer.,She's a very good photography teacher.,She's a good photography teacher.,He's a bad photography teacher.,He's a very bad photography teacher.,she,she,she,he,he
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Piano Performance and Pedagogy Professor,2,Piyano Sanat Dalı Öğretim Üyesi,She is a professor of piano art.,She is a very good piano art professor.,She is a good piano art professor.,She is a poor piano art professor.,She is a terrible piano art professor.,she,she,she,she,she
25-1121,25,1121,"Art, Drama, and Music Teachers, Postsecondary",Piano Professor,2,Piyano Eğitmeni,She's a piano instructor.,She is a very good piano instructor.,She is a good piano instructor.,She's a bad piano instructor.,She's a terrible piano instructor.,she,she,she,she,she
25-1122,25,1122,"Communications Teachers, Postsecondary",Journalism Professor,2,Gazetecilik Ve Halkla ilişkiler Öğretmeni,He's a journalism and public relations teacher.,He's a very good journalism and public relations teacher.,He's a good journalism and public relations teacher.,He's a bad journalism and PR teacher.,He's a terrible journalism and public relations teacher.,he,he,he,he,he
25-1123,25,1123,"English Language and Literature Teachers, Postsecondary",Children's Literature Professor,2,ingiliz Dili Ve Edebiyatı Öğretim Üyesi,He is a professor of English language and literature.,He is a very good professor of English language and literature.,He is a good professor of English language and literature.,He is a poor English language and literature professor.,He is a very bad English language and literature professor.,he,he,he,he,he
