Source: https://www.bls.gov/soc/2018/home.htm - Direct match tile file,,,,
U.S. Bureau of Labor Statistics,,,,
On behalf of the Office of Management and Budget (OMB) and the Standard Occupational Classification Policy Committee (SOCPC),,,,
,,,,
"November 2017 (Updated April 15, 2020)",,,,
,,,,
***Questions should be emailed to soc@bls.gov***,,,,
,,,,
2018 SOC Code,2018 SOC Title,2018 SOC Direct Match Title,Illustrative Example,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Alcohol and Drug Counselor,x,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Certified Abuse and Drug Addiction Counselor,,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Certified Alcohol and Drug Counselor,,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Chemical Dependency Counselor,x,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Drug Abuse Counselor,,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Drug Counselor,,
21-1011,Substance Abuse and Behavioral Disorder Counselors,Substance Abuse Counselor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Admissions Counselor,x,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Career Counselor,x,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Career Technical Counselor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Education Counselor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Guidance Counselor,x,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",International Student Counselor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",School Adjustment Counselor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",School Guidance Counselor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Student Advisor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Student Development Advisor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Student Services Counselor,x,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Student Success Counselor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Study Abroad Advisor,,
21-1012,"Educational, Guidance, and Career Counselors and Advisors",Vocational Adviser,,
21-1013,Marriage and Family Therapists,Child and Family Counselor,x,
21-1013,Marriage and Family Therapists,Couples Therapist,x,
21-1013,Marriage and Family Therapists,Family Counselor,,
21-1013,Marriage and Family Therapists,Family Therapist,,
21-1013,Marriage and Family Therapists,Marriage Counselor,x,
21-1013,Marriage and Family Therapists,Marriage Therapist,,
21-1013,Marriage and Family Therapists,Relationship Counselor,,
21-1014,Mental Health Counselors,Clinical Mental Health Counselor,,
21-1014,Mental Health Counselors,Licensed Clinical Mental Health Counselor,,
21-1014,Mental Health Counselors,Licensed Clinical Mental Health Counselor (LCMHC),x,
21-1014,Mental Health Counselors,Licensed Mental Health Counselor,,
21-1014,Mental Health Counselors,Licensed Mental Health Counselor (LMHC),x,
21-1015,Rehabilitation Counselors,Certified Rehabilitation Counselor,,
21-1015,Rehabilitation Counselors,Coordinator of Rehabilitation Services,,
21-1015,Rehabilitation Counselors,Psychosocial Rehabilitation Counselor,x,
21-1015,Rehabilitation Counselors,Veterans Rehabilitation Counselor,x,
21-1015,Rehabilitation Counselors,Vocational Rehabilitation Counselor,,
21-1015,Rehabilitation Counselors,Vocational Rehabilitation Job Coach,x,
21-1019,"Counselors, All Other",AIDS Counselor,,
21-1019,"Counselors, All Other",Anger Control Counselor,x,
21-1019,"Counselors, All Other",Grief Counselor,x,
21-1019,"Counselors, All Other",HIV Counselor,,
21-1019,"Counselors, All Other",Sexual Assault Counselor,x,
21-1021,"Child, Family, and School Social Workers",C-CYFSW,,
21-1021,"Child, Family, and School Social Workers","Certified Children, Youth, and Family Social Worker",x,
21-1021,"Child, Family, and School Social Workers",Child Abuse Worker,x,
21-1021,"Child, Family, and School Social Workers",Child and Family Services Worker,,
21-1021,"Child, Family, and School Social Workers",Child Protective Services Social Worker,,
21-1021,"Child, Family, and School Social Workers",Child Protective Services Specialist,,
21-1021,"Child, Family, and School Social Workers",Child Welfare Social Worker,,
21-1021,"Child, Family, and School Social Workers",Child Welfare Worker,,
21-1021,"Child, Family, and School Social Workers",Family Preservation Caseworker,,
21-1021,"Child, Family, and School Social Workers",Family Preservation Worker,,
21-1021,"Child, Family, and School Social Workers",Family Service Caseworker,,
21-1021,"Child, Family, and School Social Workers",Foster Care Social Worker,,
21-1021,"Child, Family, and School Social Workers",Foster Care Worker,x,
21-1021,"Child, Family, and School Social Workers",School Social Worker,,
21-1022,Healthcare Social Workers,AIDS Social Worker,,
21-1022,Healthcare Social Workers,Certified Social Workers In Health Care,,
21-1022,Healthcare Social Workers,C-SWHC,,
21-1022,Healthcare Social Workers,Hospice Home Care Social Worker,,
21-1022,Healthcare Social Workers,Hospice Social Worker,x,
21-1022,Healthcare Social Workers,Hospital Social Worker,,
21-1022,Healthcare Social Workers,Medical Social Worker,,
21-1022,Healthcare Social Workers,Neonatal Social Worker,,
21-1022,Healthcare Social Workers,Nephrology Social Worker,,
21-1022,Healthcare Social Workers,Oncology Social Worker,x,
21-1022,Healthcare Social Workers,Pediatric Social Worker,,
21-1022,Healthcare Social Workers,Public Health Social Worker,x,
21-1022,Healthcare Social Workers,Renal Social Worker,,
21-1023,Mental Health and Substance Abuse Social Workers,Community Mental Health Social Worker,x,
21-1023,Mental Health and Substance Abuse Social Workers,Drug Abuse Social Worker,x,
21-1023,Mental Health and Substance Abuse Social Workers,Psychiatric Social Worker,x,
21-1023,Mental Health and Substance Abuse Social Workers,Psychotherapist Social Worker,,
21-1029,"Social Workers, All Other",Adult Protective Service Social Worker,x,
21-1029,"Social Workers, All Other",Criminal Justice Social Worker,x,
21-1029,"Social Workers, All Other",Forensic Social Worker,x,
21-1029,"Social Workers, All Other",Sexual Assault Social Worker,x,
21-1091,Health Education Specialists,Certified Diabetes Educator,,
21-1091,Health Education Specialists,Certified Health Education Specialist,,
21-1091,Health Education Specialists,Community Health Education Coordinator,x,
21-1091,Health Education Specialists,Diabetes Educator,x,
21-1091,Health Education Specialists,Health Educator,,
21-1091,Health Education Specialists,Public Health Educator,x,
21-1092,Probation Officers and Correctional Treatment Specialists,Correctional Treatment Specialist,,
21-1092,Probation Officers and Correctional Treatment Specialists,Juvenile Probation Officer,x,
21-1092,Probation Officers and Correctional Treatment Specialists,Parole Agent,x,
21-1092,Probation Officers and Correctional Treatment Specialists,Parole Officer,x,
21-1092,Probation Officers and Correctional Treatment Specialists,Probation Officer,,
21-1093,Social and Human Service Assistants,Addictions Counselor Assistant,,
21-1093,Social and Human Service Assistants,Case Work Aide,x,
21-1093,Social and Human Service Assistants,Clinical Social Work Aide,,
21-1093,Social and Human Service Assistants,Family Service Assistant,x,
21-1093,Social and Human Service Assistants,Human Services Worker,x,
21-1093,Social and Human Service Assistants,Social Work Assistant,,
21-1094,Community Health Workers,CHW,,
21-1094,Community Health Workers,Community Health Advisor,,
21-1094,Community Health Workers,Community Health Representative,,
21-1094,Community Health Workers,Lay Health Advocate,x,
21-1094,Community Health Workers,Peer Health Promoter,x,
21-1094,Community Health Workers,Promotor(a),x,
21-1099,"Community and Social Service Specialists, All Other",Community Organization Worker,x,
21-1099,"Community and Social Service Specialists, All Other",Veterans Service Officer,x,
21-2011,Clergy,Cantor,,
21-2011,Clergy,Children's Pastor,,
21-2011,Clergy,College Chaplain,,
21-2011,Clergy,Hebrew Cantor,,
21-2011,Clergy,Hospital Chaplain,,
21-2011,Clergy,Imam,x,
21-2011,Clergy,Minister,,
21-2011,Clergy,Parish Priest,,
21-2011,Clergy,Pastor,,
21-2011,Clergy,Priest,x,
21-2011,Clergy,Rabbi,x,
21-2011,Clergy,Reverend,,
21-2011,Clergy,Vicar,,
21-2011,Clergy,Youth Pastor,,
21-2021,"Directors, Religious Activities and Education",Campus Ministry Director,,
21-2021,"Directors, Religious Activities and Education",Christian Education Minister,,
21-2021,"Directors, Religious Activities and Education",Education Minister,,
21-2021,"Directors, Religious Activities and Education",Parish Religious Education Director,,
21-2021,"Directors, Religious Activities and Education",Religious Activities Director,,
21-2021,"Directors, Religious Activities and Education",Religious Education Coordinator,,
21-2021,"Directors, Religious Activities and Education",Religious Education Director,x,
21-2021,"Directors, Religious Activities and Education",Student Ministries Director,,
21-2021,"Directors, Religious Activities and Education",Youth Ministry Director,x,
21-2099,"Religious Workers, All Other",Buddhist Monk,,
21-2099,"Religious Workers, All Other",Christian Science Nurse,,
21-2099,"Religious Workers, All Other",Missionary,x,
21-2099,"Religious Workers, All Other",Mohel,x,
21-2099,"Religious Workers, All Other",Nun,,
21-2099,"Religious Workers, All Other",Pastoral Worker,,
21-2099,"Religious Workers, All Other",Prior,,
21-2099,"Religious Workers, All Other",Sacristan,,
21-2099,"Religious Workers, All Other",Sunday School Missionary,,
21-2099,"Religious Workers, All Other",Traveling Missionary,,
21-2099,"Religious Workers, All Other",Verger,x,
23-1011,Lawyers,Agency Legal Counsel,,
23-1011,Lawyers,Assistant Attorney General,,
23-1011,Lawyers,Assistant Corporation Counsel,,
23-1011,Lawyers,Assistant Counsel,,
23-1011,Lawyers,Associate Attorney,,
23-1011,Lawyers,Attorney,x,
23-1011,Lawyers,Attorney At Law,,
23-1011,Lawyers,Attorney General,,
23-1011,Lawyers,Brief Writer,,
23-1011,Lawyers,City Attorney,,
23-1011,Lawyers,Civil Lawyer,,
23-1011,Lawyers,Commonwealth Attorney,,
23-1011,Lawyers,Corporate Attorney,,
23-1011,Lawyers,Corporate Counsel,x,
23-1011,Lawyers,Corporate Counselor,,
23-1011,Lawyers,County Attorney,,
23-1011,Lawyers,Defense Attorney,,
23-1011,Lawyers,Deputy Attorney General,,
23-1011,Lawyers,Deputy Chief Counsel,,
23-1011,Lawyers,District Attorney,,
23-1011,Lawyers,Environmental Attorney,,
23-1011,Lawyers,Estate Conservator,,
23-1011,Lawyers,General Counsel,,
23-1011,Lawyers,Insurance Attorney,,
23-1011,Lawyers,Legal Counsel,,
23-1011,Lawyers,Probate Lawyer,,
23-1011,Lawyers,Prosecutor,,
23-1011,Lawyers,Public Defender,x,
23-1011,Lawyers,Real Estate Attorney,,
23-1011,Lawyers,Sports Attorney,,
23-1011,Lawyers,Tax Attorney,,
23-1011,Lawyers,Trial Attorney,,
23-1011,Lawyers,Trial Lawyer,,
23-1012,Judicial Law Clerks,Judicial Clerk,x,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Appeals Examiner,x,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Appeals Referee,,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Appellate Conferee,,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Hearing Examiner,,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Hearing Officer,,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Justice of The Peace,x,
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",Traffic Court Referee,x,
23-1022,"Arbitrators, Mediators, and Conciliators",Alternative Dispute Resolution Coordinator,x,
23-1022,"Arbitrators, Mediators, and Conciliators",Mediation Commissioner,x,
23-1022,"Arbitrators, Mediators, and Conciliators",Ombudsman,x,
23-1023,"Judges, Magistrate Judges, and Magistrates",Administrative Court Justice,,
23-1023,"Judges, Magistrate Judges, and Magistrates",Circuit Court Judge,x,
23-1023,"Judges, Magistrate Judges, and Magistrates",County Court Judge,,
23-1023,"Judges, Magistrate Judges, and Magistrates",Criminal Court Judge,,
23-1023,"Judges, Magistrate Judges, and Magistrates",District Court Judge,,
23-1023,"Judges, Magistrate Judges, and Magistrates",Jurist,,
23-1023,"Judges, Magistrate Judges, and Magistrates",Justice,x,
23-1023,"Judges, Magistrate Judges, and Magistrates",Probate Judge,,
23-1023,"Judges, Magistrate Judges, and Magistrates",Trial Court Judge,,
23-1023,"Judges, Magistrate Judges, and Magistrates",Tribal Judge,x,
23-2011,Paralegals and Legal Assistants,Assistant Paralegal,,
23-2011,Paralegals and Legal Assistants,Legal Aide,x,
23-2011,Paralegals and Legal Assistants,Legal Assistant,,
23-2011,Paralegals and Legal Assistants,Paralegal,,
23-2011,Paralegals and Legal Assistants,Summer Associate,,
23-2093,"Title Examiners, Abstractors, and Searchers",Abstract Searcher,,
23-2093,"Title Examiners, Abstractors, and Searchers",Abstract Writer,,
23-2093,"Title Examiners, Abstractors, and Searchers",Advisory Title Officer,,
23-2093,"Title Examiners, Abstractors, and Searchers",Escrow Officer,x,
23-2093,"Title Examiners, Abstractors, and Searchers",Land Title Examiner,,
23-2093,"Title Examiners, Abstractors, and Searchers",Lease Examiner,,
23-2093,"Title Examiners, Abstractors, and Searchers",Lien Searcher,x,
23-2093,"Title Examiners, Abstractors, and Searchers",Title Agent,,
23-2093,"Title Examiners, Abstractors, and Searchers",Title Checker,,
23-2093,"Title Examiners, Abstractors, and Searchers",Title Examiner,,
23-2093,"Title Examiners, Abstractors, and Searchers",Title Inspector,,
23-2093,"Title Examiners, Abstractors, and Searchers",Title Investigator,,
23-2093,"Title Examiners, Abstractors, and Searchers",Title Officer,x,
23-2093,"Title Examiners, Abstractors, and Searchers",Title Searcher,,
